Restaurants and Other Eating Places,Gasoline Stations,Grocery Stores,Traveler Accommodation,Department Stores,Building Material and Supplies Dealers,Health and Personal Care Stores,Other Amusement and Recreation Industries,"Automotive Parts, Accessories, and Tire Stores",Clothing Stores,Automobile Dealers,Month,Day
3681416,1701069,959556,402297,375800,392076,367200,325345,195352,118440,134382,Mar,11
3700727,1709701,960889,409819,378840,394785,368144,325307,195774,120105,134446,Mar,12
3719502,1717363,963748,417473,382864,397128,369664,325800,196360,121905,134744,Mar,13
3739860,1723589,965511,425614,387252,399376,370510,325832,196938,123949,134819,Mar,14
3757308,1729292,965433,434391,392048,401897,371236,326007,197620,126106,135119,Mar,15
3778476,1738310,966265,443966,398086,406418,372154,327206,198835,128932,135894,Mar,16
3797522,1749894,966330,451614,402399,412860,373069,327467,200110,131656,136741,Mar,17
3817600,1759855,966259,456286,405278,417687,374081,327850,200929,133328,137413,Mar,18
3829848,1761419,965870,459551,407550,420739,374800,327607,201481,134488,137706,Mar,19
3837042,1760476,964595,462902,409288,422934,375430,327603,201758,135427,137869,Mar,20
3843853,1758576,962658,466179,411055,425074,375474,327686,201944,136288,138193,Mar,21
3840211,1753227,960330,468928,412173,425881,375378,327256,201698,136914,138076,Mar,22
3843501,1752131,958454,473122,413907,427954,375098,327127,201736,137583,138202,Mar,23
3887649,1773365,966775,482065,419211,434045,378253,329305,203318,139507,139359,Mar,24
3891190,1772449,966954,482422,421201,436071,379050,329605,203345,139746,139626,Mar,25
3900094,1774950,968383,483477,423567,438738,380467,330167,203922,140388,140304,Mar,26
3910754,1779695,969526,484741,424993,441238,381952,330269,204547,141206,140850,Mar,27
3910445,1780223,971682,485630,426094,442063,383723,331062,204221,141639,141587,Mar,28
3928737,1787117,979417,487768,429445,443705,387155,331862,204479,143113,141780,Mar,29
3939657,1793558,992830,487581,438029,448325,391634,332882,204862,146148,142074,Mar,30
3917006,1793261,1011762,479401,442620,446902,398440,332222,204303,146177,141039,Apr,1
3830781,1779484,995871,478604,412868,424664,395880,324737,200814,138523,139543,Apr,2
3847821,1790914,999941,483170,416230,428880,398381,324915,201500,140083,139701,Apr,3
3863279,1801473,1003928,488325,416975,432059,400495,325076,202233,141029,139967,Apr,4
3875220,1809520,1007506,493977,417499,434963,402446,325582,202981,141724,140164,Apr,5
3896222,1819952,1011985,499608,418686,440575,404791,326953,204244,142844,141049,Apr,6
3902232,1825291,1015585,501625,417633,444639,406818,326986,204962,143609,141517,Apr,7
3886212,1822000,1013369,497171,411052,444571,406743,324350,204414,142035,140971,Apr,8
