time_value,value
2021-03-01,0.2442857
2021-03-02,0.2414286
2021-03-03,0.2428571
2021-03-04,0.2414286
2021-03-05,0.2414286
2021-03-06,0.2385714
2021-03-07,0.2385714
2021-03-08,0.2314286
2021-03-09,0.23
2021-03-10,0.2271429
2021-03-11,0.2271429
2021-03-12,0.2228571
2021-03-13,0.2228571
2021-03-14,0.2228571
2021-03-15,0.2271429
2021-03-16,0.2271429
2021-03-17,0.2271429
2021-03-18,0.2242857
2021-03-19,0.2242857
2021-03-20,0.2242857
2021-03-21,0.2228571
2021-03-22,0.2214286
2021-03-23,0.2285714
2021-03-24,0.2385714
2021-03-25,0.25
2021-03-26,0.2585714
2021-03-27,0.2657143
2021-03-28,0.2742857
2021-03-29,0.2842857
2021-03-30,0.2914286
2021-03-31,0.2942857
2021-04-01,0.2942857
2021-04-02,0.2942857
2021-04-03,0.2885714
2021-04-04,0.2814286
2021-04-05,0.2728571
2021-04-06,0.2614286
2021-04-07,0.2528571
2021-04-08,0.2457143
2021-04-09,0.24
2021-04-10,0.2414286
2021-04-11,0.2442857
2021-04-12,0.2428571
2021-04-13,0.2385714
2021-04-14,0.2357143
2021-04-15,0.2314286
2021-04-16,0.2285714
2021-04-17,0.2214286
2021-04-18,0.2142857
2021-04-19,0.2114286
2021-04-20,0.21
2021-04-21,0.2071429
2021-04-22,0.2057143
2021-04-23,0.2042857
2021-04-24,0.2071429
2021-04-25,0.21
2021-04-28,0.2071429
2021-04-29,0.2057143
2021-04-30,0.2042857
2021-05-01,0.2
2021-05-02,0.1957143
2021-05-03,0.1971429
2021-05-04,0.19
2021-05-05,0.1871429
2021-05-06,0.1842857
2021-05-07,0.1828571
2021-05-08,0.1828571
2021-05-09,0.1814286
2021-05-10,0.1785714
2021-05-11,0.1785714
2021-05-12,0.1785714
2021-05-13,0.1814286
2021-05-14,0.1828571
2021-05-15,0.18
2021-05-16,0.1771429
2021-05-17,0.1742857
2021-05-18,0.1742857
2021-05-19,0.1728571
2021-05-20,0.1714286
2021-05-21,0.1685714
2021-05-22,0.17
2021-05-23,0.1728571
2021-05-24,0.1757143
2021-05-25,0.1771429
2021-05-26,0.1842857
2021-05-27,0.1871429
2021-05-28,0.1957143
2021-05-29,0.2014286
2021-05-30,0.2057143
2021-05-31,0.2114286
2021-06-01,0.2128571
2021-06-02,0.21
2021-06-03,0.2128571
2021-06-04,0.2085714
2021-06-05,0.2085714
2021-06-06,0.2057143
2021-06-07,0.2042857
2021-06-08,0.2057143
2021-06-09,0.2042857
2021-06-10,0.1985714
2021-06-11,0.1942857
2021-06-12,0.1842857
2021-06-13,0.18
2021-06-14,0.1742857
2021-06-15,0.18
2021-06-16,0.1757143
2021-06-17,0.1728571
2021-06-18,0.1714286
2021-06-19,0.1757143
2021-06-20,0.1785714
2021-06-21,0.1757143
2021-06-22,0.1657143
2021-06-23,0.1685714
2021-06-24,0.17
2021-06-25,0.1742857
2021-06-26,0.1728571
2021-06-27,0.1742857
2021-06-28,0.18
2021-06-29,0.1828571
2021-06-30,0.1828571
2021-07-01,0.1842857
2021-07-02,0.1842857
2021-07-03,0.19
2021-07-04,0.1914286
2021-07-05,0.1957143
2021-07-06,0.1985714
2021-07-07,0.2042857
2021-07-08,0.2071429
2021-07-09,0.2128571
2021-07-10,0.2171429
2021-07-11,0.2242857
2021-07-13,0.24
2021-07-14,0.2471429
2021-07-15,0.2557143
2021-07-16,0.2614286
2021-07-17,0.2714286
2021-07-18,0.28
2021-07-19,0.2857143
2021-07-20,0.29
2021-07-21,0.2957143
2021-07-22,0.3
2021-07-23,0.3142857
2021-07-24,0.3271429
2021-07-25,0.3357143
2021-07-26,0.3457143
2021-07-27,0.3528571
2021-07-28,0.3571429
2021-07-29,0.37
2021-07-30,0.3714286
2021-07-31,0.3742857
2021-08-01,0.38
2021-08-02,0.3828571
2021-08-03,0.3928571
2021-08-04,0.4014286
2021-08-05,0.4
2021-08-06,0.4042857
2021-08-07,0.4128571
2021-08-08,0.4214286
2021-08-09,0.4328571
2021-08-10,0.4414286
2021-08-11,0.4485714
2021-08-12,0.4585714
2021-08-13,0.4642857
2021-08-14,0.4657143
2021-08-15,0.4714286
2021-08-16,0.4628571
2021-08-17,0.4528571
2021-08-18,0.4442857
2021-08-19,0.4371429
2021-08-20,0.4314286
2021-08-21,0.4228571
2021-08-22,0.41
2021-08-23,0.3985714
2021-08-24,0.3928571
2021-08-25,0.3885714
2021-08-26,0.3828571
2021-08-27,0.3785714
2021-08-28,0.3771429
